DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
12851217.86,871.76,48.17,863.6,765.63,0,0,0,0,0,0,
12851207.64,415.83,39.02,398.84,618.82,0,0,0,0,0,0,
12851197.42,379.96,19.67,364.69,313.74,0,0,0,0,0,0,
12851187.23,358.3,27.12,351.28,428.12,0,0,0,0,0,0,
12851177.01,660.02,50.09,656.13,797.28,0,0,0,0,0,0,
12851166.81,732.71,35.13,729.42,560.8,0,0,0,0,0,0,
12851156.60,380.96,23.59,370.75,370,0,0,0,0,0,0,
12851146.38,266.22,23.2,262.42,369.76,0,0,0,0,0,0,
12851136.18,473.94,25.12,468.69,397.48,0,0,0,0,0,0,
12851125.98,676.09,43.83,671.88,697.24,0,0,0,0,0,0,
12851115.76,514.7,38.42,513.61,611.42,0,0,0,0,0,0,
12851105.56,408.72,20.58,395.43,323.72,0,0,0,0,0,0,
12851095.36,367.76,29.55,358.58,466.4,0,0,0,0,0,0,
12851085.16,539.53,34.61,535.51,548.53,0,0,0,0,0,0,
12851074.94,839.61,35.69,833.03,561.33,0,0,0,0,0,0,
12851064.74,330.58,33.2,317.01,525.25,0,0,0,0,0,0,
12851054.54,294.8,17.04,285.48,270.19,0,0,0,0,0,0,
12851044.33,516.27,31.71,514.67,503.07,0,0,0,0,0,0,
12851034.14,854.99,47.19,853.2,753.41,0,0,0,0,0,0,
12851023.92,412.74,39.44,399.55,628.91,0,0,0,0,0,0,
12851013.71,386.46,19.46,370.98,308.33,0,0,0,0,0,0,
12851003.51,398.02,27.97,391.73,441.73,0,0,0,0,0,0,
12850993.31,723.39,54.64,715.95,870.17,0,0,0,0,0,0,
12850983.10,660.2,37.43,649.5,593.68,0,0,0,0,0,0,
12850972.88,439.13,21.24,424.79,334.88,0,0,0,0,0,0,
12850962.68,323.18,23.41,313.18,369.44,0,0,0,0,0,0,
12850952.48,611.65,46.09,606.14,732.45,0,0,0,0,0,0,
12850942.25,826.2,35.86,817.28,570.02,0,0,0,0,0,0,
12850932.05,309.47,26.71,295.84,419.83,0,0,0,0,0,0,
12850921.81,342.27,26.71,329.22,423.44,0,0,0,0,0,0,
12850911.58,529.93,27.56,527.45,437.36,0,0,0,0,0,0,
12850901.36,935.95,45.48,935.83,727.55,0,0,0,0,0,0,
12850891.15,308.93,39.54,303.23,627.47,0,0,0,0,0,0,
12850880.94,360.89,18.89,350.41,300.56,0,0,0,0,0,0,
